GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
all_exercises,default,Test,41,0,0,0,11,0,5,0,5,0
all_exercises,interviewTasks,Fibonachi,45,0,4,0,12,0,5,0,3,0
all_exercises,interviewTasks,IsPalindrome,137,0,10,0,36,0,8,0,3,0
all_exercises,test,AlphabetTest,23,0,0,0,9,0,3,0,3,0
all_exercises,test,arithmeticProgressionTest,67,0,0,0,13,0,3,0,3,0
all_exercises,test,AnomalyTest,195,0,0,0,27,0,5,0,5,0
all_exercises,test,testSplit,87,0,2,0,10,0,4,0,3,0
all_exercises,list,RemoveIf,17,0,2,0,3,0,4,0,3,0
all_exercises,list,arithmeticProgression,62,0,4,0,5,0,4,0,2,0
all_exercises,list,RemoveIfTest,60,0,0,0,16,0,2,0,2,0
all_exercises,list,Alphabet,55,0,4,0,11,0,4,0,2,0
all_exercises,initializer,Initializer,13,0,0,0,5,0,2,0,2,0
all_exercises,initializer,Upper,5,0,0,0,3,0,1,0,1,0
all_exercises,initializer,Lower,18,0,0,0,6,0,2,0,2,0
all_exercises,var.interview.questions,CastPrimitiveType,20,0,0,0,7,0,2,0,2,0
all_exercises,var.interview.questions,StringvsStringBuilder,50,0,2,0,13,0,3,0,2,0
all_exercises,ru.job4j.loop,Task14,3,41,1,7,1,9,2,4,1,1
all_exercises,ru.job4j.streamapi,UserMap.User,0,9,0,0,0,4,0,2,0,2
all_exercises,ru.job4j.streamapi,UserMap,3,14,0,0,1,3,1,2,1,2
all_exercises,ru.job4j.streamapi,CollectorClass,9,17,0,0,3,4,2,1,2,1
all_exercises,ru.job4j.streamapi,AllMatchMethod,3,13,0,2,1,2,1,3,1,2
all_exercises,ru.job4j.streamapi,StreamDerno,83,0,0,0,17,0,5,0,5,0
all_exercises,ru.job4j.streamapi,MapToObj5_4,3,12,0,0,1,4,1,2,1,2
all_exercises,ru.job4j.streamapi,ArbitraryCollector,94,0,4,0,23,0,7,0,5,0
all_exercises,ru.job4j.arrays.Test,PushTheNumbersTest,451,0,0,0,11,0,3,0,3,0
all_exercises,stream,GroupMethod,3,7,0,0,1,2,1,1,1,1
all_exercises,stream,CollectToList,3,5,0,0,1,1,1,1,1,1
all_exercises,stream,SummingMethod,25,0,0,0,6,0,4,0,4,0
all_exercises,stream,CountingMethod.Worker,3,12,0,0,1,5,1,2,1,2
all_exercises,stream,NoneMatchMethod,8,0,0,0,2,0,2,0,2,0
all_exercises,stream,ArraysStreamMethod,3,3,0,0,1,1,1,1,1,1
all_exercises,stream,JoiningMethod,3,9,0,0,1,2,1,1,1,1
all_exercises,stream,StreamIterate,3,32,0,2,1,3,1,5,1,4
all_exercises,stream,CollectToAnyMap,3,20,0,0,1,4,1,4,1,4
all_exercises,stream,CollectToSet,3,5,0,0,1,1,1,1,1,1
all_exercises,stream,CountingMethod,3,12,0,0,1,3,1,2,1,2
all_exercises,stream,SummingMethod.Bill,9,0,0,0,4,0,2,0,2,0
all_exercises,stream,StreamMethod,3,3,0,0,1,1,1,1,1,1
all_exercises,stream,CollectToMap,3,16,0,0,1,1,1,3,1,3
all_exercises,stream,AnyMatchMethod,12,0,0,0,3,0,3,0,3,0
all_exercises,stream,AveragingMethod.Worker,15,0,0,0,6,0,3,0,3,0
all_exercises,stream,FlatIt,3,17,0,0,1,5,1,3,1,3
all_exercises,stream,RangeMethod,3,4,0,0,1,1,1,1,1,1
all_exercises,stream,ArraysStreamForPrimitive,3,3,0,0,1,1,1,1,1,1
all_exercises,stream,CollectToAnyCollection,3,6,0,0,1,1,1,1,1,1
all_exercises,stream,ReductionWithTwoArguments,3,15,0,0,1,2,1,2,1,2
all_exercises,stream,CountingMethod.Company,0,9,0,0,0,4,0,2,0,2
all_exercises,stream,AveragingMethod.Company,9,0,0,0,4,0,2,0,2,0
all_exercises,stream,CollectToMapWhenDublicate,3,19,0,0,1,1,1,4,1,4
all_exercises,stream,SummingMethod.Pair,15,0,0,0,6,0,3,0,3,0
all_exercises,stream,GroupMethod.User,47,12,10,0,8,5,7,2,2,2
all_exercises,stream,SummingMethod.User,20,0,0,0,7,0,3,0,3,0
all_exercises,stream,TerminalForPrimitive,37,0,0,0,8,0,6,0,6,0
all_exercises,stream,StreamBuilder,3,14,0,0,1,4,1,1,1,1
all_exercises,stream,AveragingMethod,16,0,0,0,5,0,3,0,3,0
all_exercises,stream,StreamOfMethod,35,0,0,0,8,0,3,0,3,0
all_exercises,stream,MinMethod,3,11,0,0,1,1,1,2,1,2
all_exercises,ru.job4j.set,Pangram,36,0,4,0,6,0,4,0,2,0
all_exercises,ru.job4j.set,Isogram,31,0,4,0,5,0,4,0,2,0
all_exercises,ru.job4j.set,UniqueName.User,44,0,6,0,10,0,7,0,4,0
all_exercises,ru.job4j.set,Firewall,29,28,2,4,6,5,3,3,2,1
all_exercises,ru.job4j.set,UniqueName,25,0,2,0,6,0,3,0,2,0
all_exercises,ru.job4j.set,Jackpot,35,0,4,0,5,0,4,0,2,0
all_exercises,ru.job4j,Split,91,0,12,0,26,0,8,0,2,0
all_exercises,Arrays,Anomaly,95,0,14,0,19,0,10,0,3,0
all_exercises,map,Weather,3,72,0,4,1,11,1,4,1,2
all_exercises,map,MostUsedCharacter,27,64,3,3,5,12,3,3,1,2
all_exercises,map,Concordance,3,43,0,4,1,7,1,3,1,1
all_exercises,map,ComputeIfPresent,3,28,0,2,1,4,1,3,1,2
all_exercises,map,Dictionary,3,62,0,4,1,11,1,3,1,1
all_exercises,map,NonUniqueString,20,43,0,4,6,7,2,3,2,1
all_exercises,map,RemoveElements,3,36,0,4,1,7,1,3,1,1
all_exercises,map,ComputeIfAbsent.User,32,15,6,0,5,6,5,3,2,3
all_exercises,map,MostUsedCharacter.new Comparator() {...},10,3,0,0,1,1,1,1,1,1
all_exercises,map,PutContainsKeyTest,81,0,0,0,17,0,3,0,3,0
all_exercises,map,Weather.new Comparator() {...},0,9,0,0,0,2,0,2,0,2
all_exercises,map,User,48,0,8,0,10,0,8,0,4,0
all_exercises,map,Weather.Info,20,42,5,5,3,11,6,4,1,4
all_exercises,map,Merge.User,36,21,8,0,5,8,6,4,2,4
all_exercises,map,Farm.Animal,5,42,2,4,1,10,3,5,1,4
all_exercises,map,Farm,3,27,0,2,1,5,1,2,1,1
all_exercises,map,Merge,3,34,0,2,1,6,1,3,1,2
all_exercises,map,ComputeIfAbsent,3,43,0,2,1,6,1,4,1,3
all_exercises,map,PutIfAbsent,0,23,0,2,0,7,0,3,0,2
all_exercises,map,PutContainsKey,57,0,6,0,12,0,6,0,3,0
all_exercises,map,RemoveElements.User,47,15,10,0,6,6,7,3,2,3
all_exercises,map,PutIfAbsent.User,13,31,3,3,1,9,4,3,1,3
all_exercises,ru.job4j.arrays,PushTheNumbers,250,0,12,0,19,0,9,0,3,0
all_exercises,ru.job4j.set.Test,JackpotTest,61,0,0,0,9,0,3,0,3,0
all_exercises,ru.job4j.set.Test,PangramTest,15,0,0,0,5,0,2,0,2,0
all_exercises,ru.job4j.set.Test,UniqueNameTest.IsogramTest,27,0,0,0,9,0,3,0,3,0
all_exercises,ru.job4j.set.Test,UniqueNameTest,47,0,0,0,6,0,2,0,2,0
all_exercises,ru.job4j.set.Test,FirewallTest,37,0,0,0,11,0,3,0,3,0
all_exercises,ru.job4j.set.Test,IsogramTest,27,0,0,0,9,0,3,0,3,0
